[INFO 10:49:51 AM] miguelsolorio.symbols activated
[INFO 10:49:51 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 10:49:51 AM] symbols.folders.associations changed, updating to undefined
[INFO 10:49:51 AM] symbols.files.associations changed, updating to undefined
[INFO 11:02:01 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:02:01 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:02:01 AM] symbols.files.associations changed, updating to undefined
[INFO 11:02:02 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:02:02 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:02:02 AM] symbols.files.associations changed, updating to undefined
[INFO 11:02:03 AM] symbols.hidesExplorerArrows changed, updating to false
[INFO 11:02:03 AM] symbols.folders.associations changed, updating to undefined
[INFO 11:02:03 AM] symbols.files.associations changed, updating to undefined
